,Name,School,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS,Pk,Tm,Year,Pos
526,Justin Patton,Creighton,35.0,25.3,5.7,8.5,0.6759999999999999,5.5,8.0,0.6829999999999999,0.2,0.4,0.5329999999999999,1.3,2.5,0.517,6.2,1.2,0.9,1.4,1.7,2.7,12.9,8.95,0.0,0.0,1.0,0.0,2.0,16,CHI,2017,C
527,John Collins,Wake Forest,64.0,20.7,4.9,8.2,0.601,4.9,8.2,0.602,0.0,0.0,0.0,3.6,4.9,0.7290000000000001,7.0,0.4,0.5,1.2,1.4,2.8,13.4,10.16,7.3,1.3,0.6,1.1,10.5,19,ATL,2017,PF
528,Jarrett Allen,Texas,33.0,32.2,5.4,9.6,0.5660000000000001,5.4,9.4,0.579,0.0,0.2,0.0,2.5,4.5,0.564,8.4,0.8,0.6,1.5,2.5,2.1,13.4,12.75,5.4,0.7,0.4,1.2,8.2,22,BRK,2017,C
529,OG Anunoby,Indiana,50.0,17.4,2.7,4.8,0.563,2.1,3.3,0.652,0.5,1.5,0.365,0.9,1.8,0.522,3.5,0.8,1.0,0.9,1.1,1.7,6.8,7.53,2.5,0.7,0.7,0.2,5.9,23,TOR,2017,SF
530,Tyler Lydon,Syracuse,71.0,33.1,3.9,8.2,0.476,2.5,4.8,0.531,1.4,3.5,0.4,2.4,2.9,0.809,7.4,1.6,1.1,1.6,1.5,2.6,11.6,9.11,0.0,0.0,0.0,0.0,0.0,24,UTA,2017,PF
531,Caleb Swanigan,Purdue,69.0,29.2,5.1,10.2,0.501,4.2,7.9,0.537,0.9,2.3,0.376,3.3,4.4,0.76,10.4,2.4,0.4,0.5,3.0,2.5,14.4,8.12,2.0,0.5,0.2,0.1,2.3,26,POR,2017,PF
532,Kyle Kuzma,Utah,96.0,21.0,3.9,7.7,0.506,3.3,5.9,0.5670000000000001,0.5,1.8,0.302,1.8,2.8,0.633,5.5,1.5,0.3,0.4,1.6,1.6,10.1,6.84,6.3,1.8,0.6,0.4,16.1,27,BRK,2017,PF
533,Derrick White,Colorado,34.0,32.8,6.0,11.9,0.507,4.4,7.6,0.569,1.7,4.2,0.396,4.4,5.4,0.813,4.1,4.4,1.2,1.4,2.4,2.1,18.1,6.0,1.5,0.5,0.2,0.2,3.2,29,SAS,2017,PG
534,Josh Hart,Villanova,146.0,28.0,4.6,9.1,0.511,3.2,5.4,0.5920000000000001,1.4,3.6,0.389,2.5,3.4,0.72,5.6,1.8,1.1,0.3,1.3,2.2,13.2,8.51,4.2,1.3,0.7,0.3,7.9,30,UTA,2017,SG
535,Davon Reed,Miami (FL),131.0,28.1,3.3,7.8,0.43,1.8,3.9,0.466,1.5,3.9,0.395,2.0,2.6,0.779,3.6,1.6,0.9,0.4,1.4,1.9,10.3,8.24,1.9,0.6,0.5,0.1,3.0,32,PHO,2017,SG
536,Wesley Iwundu,Kansas State,132.0,28.2,3.2,6.9,0.463,2.8,5.8,0.488,0.4,1.1,0.338,2.6,3.8,0.688,4.7,2.8,0.9,0.4,2.1,2.1,9.5,9.51,2.2,0.9,0.5,0.2,3.7,33,ORL,2017,SF
537,Frank Mason,Kansas,145.0,30.0,4.2,9.2,0.454,2.9,6.2,0.471,1.3,3.0,0.42,3.3,4.4,0.7609999999999999,3.4,4.0,1.1,0.1,1.9,2.0,13.0,11.74,2.5,2.8,0.7,0.2,7.9,34,SAC,2017,PG
538,Ivan Rabb,California,65.0,30.6,4.8,8.8,0.544,4.7,8.5,0.5489999999999999,0.1,0.3,0.409,3.5,5.2,0.6659999999999999,9.4,1.2,0.6,1.1,1.8,3.1,13.2,7.1,4.4,0.9,0.3,0.4,5.6,35,ORL,2017,PF
539,Jordan Bell,Oregon,105.0,24.7,3.3,5.4,0.61,3.3,5.2,0.622,0.0,0.2,0.188,1.2,1.8,0.63,6.8,1.5,1.1,2.2,1.5,2.3,7.8,8.23,3.6,1.8,0.6,1.0,4.6,38,CHI,2017,C
540,Jawun Evans,Oklahoma State,54.0,29.1,5.7,12.7,0.448,4.7,10.2,0.458,1.0,2.5,0.407,4.2,5.1,0.818,3.8,5.8,1.5,0.1,2.7,2.4,16.6,10.51,1.8,2.1,0.8,0.1,4.8,39,PHI,2017,PG
541,Dwayne Bacon,Florida State,69.0,28.8,6.1,13.5,0.449,4.8,9.3,0.51,1.3,4.1,0.312,3.1,4.2,0.733,5.0,1.6,1.0,0.1,2.1,1.9,16.5,8.52,2.3,0.7,0.3,0.0,3.3,40,NOP,2017,SG
542,Tyler Dorsey,Oregon,75.0,30.0,4.6,10.0,0.455,2.5,5.1,0.493,2.1,5.0,0.416,2.9,3.9,0.732,3.9,1.8,0.8,0.1,1.7,1.8,14.1,8.51,2.3,1.4,0.3,0.1,7.2,41,ATL,2017,SG
543,Thomas Bryant,Indiana,69.0,25.3,4.4,7.5,0.5920000000000001,4.0,6.4,0.63,0.4,1.1,0.373,3.0,4.1,0.718,6.2,1.2,0.6,1.2,2.0,2.9,12.2,7.53,1.1,0.4,0.1,0.1,1.5,42,UTA,2017,C
544,Dillon Brooks,Oregon,109.0,28.9,5.4,11.4,0.472,4.2,8.0,0.518,1.2,3.4,0.362,2.8,3.5,0.794,4.5,2.6,0.9,0.5,2.1,2.9,14.8,8.23,3.1,1.6,0.9,0.2,11.0,45,HOU,2017,SF
545,Sterling Brown,Washington,32.0,4.9,0.6,1.4,0.435,0.4,0.9,0.483,0.2,0.5,0.353,0.3,0.5,0.5329999999999999,0.8,0.4,0.1,0.0,0.3,0.7,1.7,10.11,2.6,0.5,0.6,0.2,4.0,46,PHI,2017,SG
546,Sindarius Thornwell,South Carolina,132.0,31.8,4.5,11.5,0.392,3.2,7.5,0.42,1.4,4.0,0.339,4.3,5.6,0.7709999999999999,5.2,3.0,1.5,0.6,2.5,2.4,14.7,7.8,1.9,0.9,0.7,0.3,3.9,48,MIL,2017,SG
547,Monte Morris,Iowa State,140.0,33.8,4.5,9.5,0.476,3.5,6.7,0.517,1.1,2.9,0.381,2.0,2.6,0.78,3.7,5.5,1.6,0.3,1.2,1.5,12.2,10.28,0.7,2.3,1.0,0.0,3.3,51,DEN,2017,PG
548,Edmond Sumner,Xavier,58.0,26.6,3.5,8.2,0.429,2.9,6.0,0.483,0.6,2.2,0.285,3.7,5.1,0.73,3.5,3.8,1.2,0.4,2.2,2.3,11.4,9.81,1.0,0.0,0.0,0.0,2.0,52,NOP,2017,PG
549,Kadeem Allen,Arizona,68.0,27.5,3.0,6.6,0.459,2.3,4.8,0.482,0.7,1.8,0.4,2.3,3.1,0.725,3.6,3.3,1.3,0.7,2.0,2.4,9.1,7.43,0.6,0.7,0.2,0.1,1.1,53,BOS,2017,PG
550,Alec Peters,Valparaiso,134.0,31.7,5.9,12.1,0.487,3.7,6.9,0.539,2.2,5.2,0.416,3.6,4.2,0.846,7.4,1.5,0.8,0.3,1.9,2.1,17.5,-0.95,1.9,0.6,0.1,0.1,4.1,54,PHO,2017,PF
551,Jabari Bird,California,114.0,26.4,3.9,8.9,0.442,2.3,4.5,0.512,1.6,4.4,0.371,1.2,1.6,0.753,3.3,1.2,0.5,0.3,1.2,1.7,10.8,6.95,1.5,0.6,0.2,0.1,3.0,56,BOS,2017,SG
552,Jaron Blossomgame,Clemson,128.0,30.7,4.9,10.0,0.488,4.1,7.7,0.541,0.8,2.4,0.316,3.0,4.1,0.7240000000000001,6.5,1.1,0.6,0.7,1.5,1.6,13.5,7.5,3.6,0.5,0.3,0.3,4.2,59,SAS,2017,SF
553,Deandre Ayton,Arizona,35.0,33.5,7.9,12.9,0.612,7.5,11.9,0.635,0.3,1.0,0.343,4.0,5.5,0.733,11.6,1.6,0.6,1.9,2.0,2.3,20.1,6.84,10.3,1.8,0.9,0.9,16.3,1,PHO,2018,C
554,Jaren Jackson,Georgetown,130.0,16.5,2.9,6.4,0.444,2.6,5.4,0.477,0.8,2.1,0.365,1.2,1.7,0.7090000000000001,2.9,1.2,1.0,0.2,1.3,1.5,7.5,8.4,0.9,0.5,0.5,0.0,2.4,4,MEM,2018,SG
555,Trae Young,Oklahoma,32.0,35.4,8.2,19.3,0.422,4.5,9.1,0.493,3.7,10.3,0.36,7.4,8.6,0.861,3.9,8.7,1.7,0.3,5.2,1.8,27.4,10.56,3.7,8.1,0.9,0.2,19.1,5,DAL,2018,PG
556,Mohamed Bamba,Texas,30.0,30.2,4.9,9.0,0.541,4.4,7.3,0.603,0.5,1.7,0.275,2.7,4.0,0.6809999999999999,10.5,0.5,0.8,3.7,1.5,2.5,12.9,10.67,5.0,0.8,0.3,1.4,6.2,6,ORL,2018,C
557,Collin Sexton,Alabama,33.0,29.9,5.9,13.3,0.447,4.6,9.3,0.495,1.3,4.0,0.336,5.9,7.6,0.778,3.8,3.6,0.8,0.1,2.8,2.5,19.2,10.64,2.9,3.0,0.5,0.1,16.7,8,CLE,2018,PG
558,Kevin Knox,Kentucky,37.0,32.4,5.3,11.9,0.445,3.8,7.4,0.509,1.5,4.5,0.341,3.4,4.4,0.774,5.4,1.4,0.8,0.3,2.3,2.2,15.6,10.73,4.5,1.1,0.6,0.3,12.8,9,NYK,2018,PF
559,Mikal Bridges,Villanova,116.0,27.3,3.9,7.5,0.525,2.5,3.8,0.645,1.5,3.7,0.4,1.9,2.3,0.845,4.3,1.6,1.4,0.9,1.1,2.2,11.3,9.74,3.2,2.1,1.6,0.5,8.3,10,PHI,2018,SF
560,Shai Gilgeous-Alexander,Kentucky,37.0,33.7,4.9,10.2,0.485,4.3,8.6,0.5,0.6,1.5,0.404,3.9,4.7,0.8170000000000001,4.1,5.1,1.6,0.5,2.7,1.7,14.4,10.73,2.8,3.3,1.2,0.5,10.8,11,CHO,2018,PG
561,Miles Bridges,Michigan State,62.0,31.6,6.2,13.2,0.47,4.2,7.8,0.537,2.0,5.5,0.375,2.5,3.2,0.7759999999999999,7.6,2.4,0.6,1.1,2.1,1.7,17.0,8.8,4.0,1.2,0.7,0.6,7.5,12,LAC,2018,SF
562,Jerome Robinson,Bradley,113.0,25.1,2.7,6.2,0.44,1.9,3.9,0.477,0.8,2.3,0.375,2.1,2.8,0.741,3.2,1.8,0.8,0.6,1.5,1.8,8.4,3.22,1.2,0.6,0.3,0.1,3.4,13,LAC,2018,SG
563,Zhaire Smith,Texas Tech,37.0,28.4,4.2,7.5,0.556,3.7,6.4,0.574,0.5,1.1,0.45,2.5,3.4,0.7170000000000001,5.0,1.8,1.1,1.1,1.1,1.8,11.3,9.6,2.2,1.7,0.3,0.3,6.7,16,PHO,2018,SG
564,Donte DiVincenzo,Villanova,85.0,25.4,3.6,7.6,0.469,2.0,3.6,0.573,1.5,4.0,0.378,1.6,2.2,0.705,4.0,2.4,0.9,0.2,1.6,1.8,10.2,9.74,2.4,1.1,0.5,0.2,4.9,17,MIL,2018,SG
565,Kevin Huerter,Maryland,65.0,31.9,4.2,9.0,0.466,2.1,3.6,0.5720000000000001,2.1,5.4,0.394,1.5,2.0,0.748,5.0,3.0,0.8,0.7,1.9,2.1,12.0,8.11,3.3,2.9,0.9,0.3,9.7,19,ATL,2018,SG
566,Josh Okogie,Georgia Tech,61.0,33.0,5.4,12.3,0.4370000000000001,4.3,9.4,0.454,1.1,2.8,0.382,5.1,6.6,0.777,5.8,2.0,1.5,0.8,2.3,2.7,16.9,7.84,2.9,1.2,1.2,0.4,7.7,20,MIN,2018,SG
567,Grayson Allen,Duke,142.0,27.9,4.3,9.9,0.43,2.2,4.5,0.49,2.0,5.4,0.38,3.5,4.2,0.8340000000000001,3.2,3.0,1.0,0.1,1.7,2.1,14.1,10.27,0.6,0.7,0.2,0.2,5.6,21,UTA,2018,SG
568,Chandler Hutchison,Boise State,123.0,24.0,4.3,8.9,0.476,3.6,7.1,0.508,0.6,1.8,0.353,2.9,4.2,0.687,5.5,2.1,1.0,0.2,1.9,2.2,12.0,2.57,4.2,0.8,0.5,0.1,5.2,22,CHI,2018,SF
569,Aaron Holiday,UCLA,101.0,31.8,4.7,10.5,0.45,2.9,6.2,0.469,1.8,4.2,0.422,3.1,3.9,0.795,3.2,4.7,1.2,0.2,3.0,2.7,14.3,7.65,1.3,1.7,0.4,0.3,5.9,23,IND,2018,PG
570,Moritz Wagner,Michigan,107.0,21.0,3.9,7.2,0.547,2.9,4.5,0.643,1.0,2.7,0.385,1.5,2.2,0.698,4.5,0.5,0.8,0.4,1.2,2.5,10.4,9.16,2.0,0.6,0.3,0.3,4.8,25,LAL,2018,C
571,Landry Shamet,Wichita State,71.0,28.6,4.2,8.7,0.48,1.9,3.6,0.542,2.2,5.1,0.4370000000000001,2.3,2.8,0.8109999999999999,3.0,4.1,0.8,0.2,1.5,2.1,12.9,4.22,1.7,1.5,0.5,0.1,9.1,26,PHI,2018,SG
572,Jacob Evans,Cincinnati,105.0,29.1,4.0,9.4,0.429,2.4,5.0,0.476,1.7,4.4,0.377,2.0,2.7,0.755,4.3,2.5,1.1,0.9,1.3,2.0,11.7,4.75,0.8,0.8,0.2,0.1,1.3,28,GSW,2018,SG
573,Omari Spellman,Villanova,40.0,28.1,4.0,8.4,0.476,2.4,4.7,0.511,1.6,3.8,0.433,1.2,1.8,0.7,8.0,0.8,0.7,1.5,1.0,2.3,10.9,10.24,4.2,1.0,0.6,0.5,5.9,30,ATL,2018,PF
574,Jevon Carter,West Virginia,144.0,29.9,4.1,10.0,0.407,2.4,5.3,0.453,1.7,4.7,0.355,2.4,3.0,0.7979999999999999,3.7,3.9,2.3,0.2,1.8,2.5,12.2,9.53,1.7,1.8,0.7,0.3,4.4,32,MEM,2018,PG
575,Jalen Brunson,Villanova,116.0,28.9,5.0,9.8,0.51,3.5,5.9,0.5870000000000001,1.5,3.9,0.393,2.9,3.5,0.82,2.5,3.7,0.8,0.0,1.9,1.8,14.4,9.74,2.3,3.2,0.5,0.1,9.3,33,DAL,2018,PG
576,Melvin Frazier,Tulane,94.0,27.7,3.8,7.9,0.481,3.0,5.2,0.5720000000000001,0.9,2.8,0.312,2.1,3.2,0.653,4.4,1.7,1.6,0.5,2.0,2.0,10.6,3.37,0.5,0.1,0.1,0.0,1.5,35,ORL,2018,SG
577,Gary Trent,Ohio,93.0,33.8,8.6,14.9,0.573,8.4,14.2,0.59,0.2,0.7,0.246,5.4,7.8,0.687,11.3,2.0,0.6,1.1,3.3,2.2,22.7,0.19,3.4,0.7,0.4,0.2,7.5,37,SAC,2018,PF
578,Khyri Thomas,Creighton,102.0,27.2,4.2,8.2,0.511,2.9,5.1,0.578,1.3,3.2,0.406,1.5,2.1,0.7190000000000001,4.6,2.5,1.4,0.3,1.6,1.8,11.2,7.83,0.8,0.3,0.3,0.2,2.3,38,PHI,2018,SG
579,Jarred Vanderbilt,Kentucky,14.0,17.0,2.1,4.9,0.426,2.1,4.8,0.433,0.0,0.1,0.0,1.7,2.7,0.632,7.9,1.0,0.4,0.8,1.1,2.6,5.9,10.73,1.4,0.2,0.4,0.1,1.4,41,ORL,2018,PF
580,Hamidou Diallo,Kentucky,37.0,24.8,3.6,8.5,0.428,2.9,6.4,0.458,0.7,2.1,0.338,2.1,3.4,0.616,3.6,1.2,0.8,0.4,1.4,2.6,10.0,10.73,1.9,0.3,0.4,0.2,3.7,45,BRK,2018,SG
581,Sviatoslav Mykhailiuk,Kansas,136.0,22.6,3.1,7.3,0.428,1.4,3.0,0.455,1.7,4.3,0.409,0.7,1.0,0.746,2.5,1.5,0.7,0.2,1.1,1.7,8.7,11.86,0.9,0.9,0.3,0.0,3.2,47,LAL,2018,SF
582,Keita Bates-Diop,Ohio State,109.0,24.8,4.3,9.1,0.472,3.2,5.9,0.537,1.1,3.2,0.35200000000000004,1.9,2.5,0.7759999999999999,5.7,1.1,0.6,1.2,1.2,1.4,11.7,7.69,2.8,0.6,0.6,0.5,5.0,48,MIN,2018,SF
583,Chimezie Metu,USC,104.0,27.0,4.8,8.9,0.5329999999999999,4.6,8.5,0.545,0.1,0.4,0.302,2.7,3.9,0.6920000000000001,6.3,1.2,0.7,1.6,1.7,2.5,12.3,6.78,1.2,0.4,0.2,0.1,1.8,49,SAS,2018,PF
584,Alize Johnson,Missouri State,66.0,30.7,5.2,11.3,0.457,3.9,7.5,0.523,1.2,3.8,0.325,3.3,4.6,0.716,11.1,2.4,0.5,0.3,2.3,2.3,14.9,0.82,1.4,0.1,0.1,0.2,0.9,50,IND,2018,PF
585,Thomas Welsh,UCLA,132.0,25.0,4.0,7.5,0.537,3.7,6.6,0.5539999999999999,0.3,0.9,0.407,1.0,1.3,0.7979999999999999,7.8,0.8,0.4,1.1,0.7,2.5,9.5,7.8,0.4,0.5,0.0,0.0,1.6,58,DEN,2018,C
586,Zion Williamson,Duke,33.0,30.0,9.0,13.2,0.68,8.2,11.0,0.747,0.7,2.2,0.338,3.9,6.2,0.64,8.9,2.1,2.1,1.8,2.4,2.1,22.6,11.97,0.0,0.0,0.0,0.0,0.0,1,NOP,2019,PF
587,RJ Barrett,Duke,38.0,35.3,8.4,18.5,0.454,6.5,12.2,0.529,1.9,6.2,0.308,3.9,5.9,0.665,7.6,4.3,0.9,0.4,3.2,1.8,22.6,11.97,0.0,0.0,0.0,0.0,0.0,3,NYK,2019,SG
588,DeAndre Hunter,Virginia,71.0,26.6,4.4,8.5,0.509,3.4,6.3,0.541,0.9,2.3,0.419,2.8,3.6,0.773,4.4,1.6,0.6,0.5,1.2,1.9,12.4,9.61,0.0,0.0,0.0,0.0,0.0,4,LAL,2019,SF
589,Darius Garland,Vanderbilt,5.0,27.8,5.8,10.8,0.537,3.6,6.2,0.581,2.2,4.6,0.478,2.4,3.2,0.75,3.8,2.6,0.8,0.4,3.0,1.4,16.2,7.79,0.0,0.0,0.0,0.0,0.0,5,CLE,2019,PG
590,Coby White,UNC,35.0,28.5,5.4,12.7,0.423,3.0,6.1,0.5,2.3,6.6,0.353,3.0,3.7,0.8,3.5,4.1,1.1,0.3,2.7,1.9,16.1,11.35,0.0,0.0,0.0,0.0,0.0,6,PHO,2019,PG
591,Jarrett Culver,Texas Tech,75.0,29.5,5.3,11.6,0.459,3.9,7.5,0.522,1.4,4.1,0.341,2.9,4.2,0.687,5.6,2.8,1.3,0.6,2.1,2.0,14.9,9.56,0.0,0.0,0.0,0.0,0.0,7,CHI,2019,SG
592,Bruno Fernando,Maryland,64.0,26.4,4.5,7.6,0.595,4.5,7.4,0.603,0.1,0.2,0.308,2.9,3.8,0.763,8.7,1.4,0.5,1.6,2.3,2.8,12.0,9.02,0.0,0.0,0.0,0.0,0.0,9,WAS,2019,C
593,Mfiondu Kabengele,Florida State,71.0,18.3,3.5,7.0,0.498,3.0,5.8,0.526,0.5,1.3,0.374,2.8,3.9,0.7240000000000001,5.3,0.3,0.5,1.2,1.2,2.4,10.3,9.38,0.0,0.0,0.0,0.0,0.0,10,ATL,2019,PF
594,Nassir Little,UNC,36.0,18.2,3.6,7.6,0.478,3.3,6.2,0.527,0.4,1.4,0.269,2.1,2.8,0.77,4.6,0.7,0.5,0.5,1.3,1.6,9.8,11.35,0.0,0.0,0.0,0.0,0.0,11,MIN,2019,SF
595,Rui Hachimura,Gonzaga,102.0,19.7,4.5,7.8,0.579,4.3,7.1,0.607,0.2,0.7,0.316,2.8,3.7,0.746,4.4,0.8,0.6,0.5,1.2,1.6,12.1,3.91,0.0,0.0,0.0,0.0,0.0,14,BOS,2019,SF
596,Bol Bol,Oregon,9.0,29.8,8.2,14.7,0.561,6.8,11.9,0.57,1.4,2.8,0.52,3.1,4.1,0.757,9.6,1.0,0.8,2.7,2.0,1.7,21.0,6.13,0.0,0.0,0.0,0.0,0.0,15,DET,2019,C
597,PJ Washington,Kentucky,72.0,28.3,4.5,8.7,0.521,4.0,7.3,0.547,0.5,1.4,0.384,3.4,5.4,0.632,6.6,1.7,0.8,1.0,1.9,2.6,12.9,10.51,0.0,0.0,0.0,0.0,0.0,18,IND,2019,PF
598,Nicolas Claxton,Georgia,65.0,23.0,2.8,6.1,0.457,2.4,4.8,0.5,0.4,1.3,0.302,2.4,4.0,0.611,6.2,1.0,0.6,1.9,1.4,2.3,8.4,8.5,0.0,0.0,0.0,0.0,0.0,19,SAS,2019,PF
599,Tyler Herro,Kentucky,37.0,32.6,5.0,10.9,0.462,3.4,6.3,0.5379999999999999,1.6,4.6,0.355,2.4,2.5,0.935,4.5,2.5,1.1,0.3,1.6,1.3,14.0,10.29,0.0,0.0,0.0,0.0,0.0,21,OKC,2019,SG
600,Keldon Johnson,Kentucky,37.0,30.7,4.6,10.1,0.461,3.4,6.9,0.498,1.2,3.2,0.381,2.9,4.2,0.703,5.9,1.6,0.8,0.2,1.6,2.2,13.5,10.29,0.0,0.0,0.0,0.0,0.0,22,BOS,2019,SG
601,Romeo Langford,Indiana,32.0,34.1,5.5,12.3,0.448,4.5,8.4,0.53,1.1,3.9,0.272,4.4,6.1,0.722,5.4,2.3,0.8,0.8,2.1,1.9,16.5,10.1,0.0,0.0,0.0,0.0,0.0,24,PHI,2019,SG
602,Dylan Windler,Belmont,128.0,29.4,4.6,8.6,0.541,2.9,4.4,0.669,1.7,4.2,0.406,2.2,2.9,0.7609999999999999,7.8,2.0,1.0,0.8,1.6,2.4,13.2,-2.32,0.0,0.0,0.0,0.0,0.0,28,GSW,2019,SG
603,Matisse Thybulle,Washington,135.0,29.4,3.3,7.6,0.429,1.9,3.7,0.507,1.4,4.0,0.358,1.3,1.6,0.782,3.1,2.0,2.5,1.4,1.9,2.8,9.2,7.0,0.0,0.0,0.0,0.0,0.0,29,SAS,2019,SG
604,Naz Reid,LSU,34.0,27.2,5.0,10.7,0.468,4.2,8.3,0.509,0.8,2.5,0.333,2.7,3.8,0.727,7.2,0.9,0.7,0.7,2.5,3.2,13.6,9.15,0.0,0.0,0.0,0.0,0.0,30,MIL,2019,C
605,Ty Jerome,Virginia,105.0,26.4,3.5,8.0,0.435,1.9,3.9,0.479,1.6,4.0,0.392,1.1,1.4,0.7879999999999999,3.0,3.7,1.2,0.0,1.4,1.9,9.6,10.05,0.0,0.0,0.0,0.0,0.0,31,BRK,2019,PG
606,Cameron Johnson,Texas State,118.0,19.9,3.7,8.0,0.464,3.7,8.0,0.465,0.0,0.0,0.333,2.6,4.3,0.611,5.4,0.7,0.9,0.5,2.0,3.2,10.1,-4.62,0.0,0.0,0.0,0.0,0.0,32,PHO,2019,SF
607,Carsen Edwards,Purdue,108.0,29.4,5.9,14.2,0.412,3.3,7.2,0.455,2.6,7.1,0.368,3.4,4.2,0.8170000000000001,3.4,2.5,1.2,0.2,2.2,1.9,17.8,9.84,0.0,0.0,0.0,0.0,0.0,33,PHI,2019,PG
608,Grant Williams,Tennessee,104.0,28.9,5.3,10.2,0.516,5.0,9.2,0.54,0.3,1.0,0.29100000000000004,4.8,6.4,0.758,6.5,2.1,0.9,1.5,2.1,3.2,15.7,10.15,0.0,0.0,0.0,0.0,0.0,34,PHI,2019,PF
609,Terance Mann,Florida State,140.0,25.9,3.6,6.5,0.552,3.2,5.4,0.601,0.4,1.2,0.327,1.8,2.8,0.67,5.1,1.9,0.8,0.2,1.4,2.0,9.4,8.95,0.0,0.0,0.0,0.0,0.0,37,NOP,2019,SG
610,Chuma Okeke,Auburn,72.0,25.5,3.6,7.5,0.481,2.4,4.3,0.55,1.2,3.2,0.389,1.4,2.0,0.703,6.3,1.5,1.3,1.0,1.3,1.9,9.9,9.11,0.0,0.0,0.0,0.0,0.0,38,CHI,2019,SF
611,Tyler Cook,Iowa,93.0,28.0,5.3,9.8,0.542,5.3,9.6,0.552,0.0,0.2,0.14300000000000002,3.5,5.5,0.639,6.7,1.8,0.7,0.5,2.6,2.5,14.1,8.17,0.0,0.0,0.0,0.0,0.0,39,DAL,2019,PF
612,Isaiah Roby,Nebraska,97.0,23.9,2.9,6.1,0.476,2.4,4.6,0.523,0.5,1.5,0.336,1.8,2.6,0.7020000000000001,5.5,1.5,0.8,1.6,1.6,2.8,8.1,9.79,0.0,0.0,0.0,0.0,0.0,40,SAC,2019,SF
613,Tacko Fall,UCF,115.0,23.0,4.3,5.8,0.74,4.3,5.8,0.741,0.0,0.0,0.0,1.4,3.3,0.4320000000000001,7.7,0.4,0.2,2.4,2.1,2.6,10.1,4.01,0.0,0.0,0.0,0.0,0.0,41,ATL,2019,C
614,Jalen McDaniels,San Diego State,67.0,27.9,5.0,10.0,0.504,4.6,8.6,0.5379999999999999,0.4,1.4,0.298,2.7,3.6,0.758,7.9,1.5,1.0,0.5,1.8,2.6,13.2,3.19,0.0,0.0,0.0,0.0,0.0,42,ATL,2019,SF
615,Louis King,Oregon,31.0,30.4,4.8,11.0,0.435,2.9,6.0,0.476,1.9,4.9,0.386,2.0,2.5,0.785,5.5,1.3,0.9,0.2,2.1,2.5,13.5,6.13,0.0,0.0,0.0,0.0,0.0,43,MIN,2019,SF
616,Jordan Bone,Tennessee,95.0,26.1,3.6,8.4,0.424,2.6,5.7,0.458,1.0,2.7,0.353,1.6,2.0,0.8170000000000001,2.4,4.3,0.7,0.1,1.6,1.2,9.7,10.15,0.0,0.0,0.0,0.0,0.0,44,PHI,2019,PG
617,Luguentz Dort,Arizona State,34.0,31.5,5.1,12.6,0.405,3.5,7.5,0.472,1.6,5.2,0.307,4.3,6.1,0.7,4.3,2.3,1.5,0.2,2.9,3.0,16.1,6.04,0.0,0.0,0.0,0.0,0.0,47,SAC,2019,SG
618,Kris Wilkes,UCLA,66.0,30.8,5.5,12.6,0.436,3.6,7.1,0.509,1.9,5.5,0.343,2.6,3.9,0.664,4.8,1.7,0.7,0.5,1.6,2.3,15.5,6.82,0.0,0.0,0.0,0.0,0.0,48,LAC,2019,SF
619,Jaylen Nowell,Washington,70.0,33.5,6.0,12.6,0.476,4.7,9.4,0.504,1.3,3.2,0.396,2.8,3.5,0.789,4.6,2.9,1.2,0.3,2.7,2.5,16.1,6.54,0.0,0.0,0.0,0.0,0.0,50,IND,2019,PG
620,Sagaba Konate,West Virginia,81.0,18.7,3.1,6.2,0.509,3.0,5.9,0.515,0.1,0.3,0.391,1.6,2.2,0.7559999999999999,5.5,0.6,0.4,2.4,1.2,2.6,8.0,9.87,0.0,0.0,0.0,0.0,0.0,53,UTA,2019,PF
621,Jaylen Hands,UCLA,64.0,28.3,4.1,9.9,0.409,2.4,5.4,0.44,1.7,4.6,0.373,2.3,3.0,0.762,3.8,4.4,1.2,0.2,2.5,1.4,12.1,6.82,0.0,0.0,0.0,0.0,0.0,54,PHI,2019,PG
622,Jaylen Hoard,Wake Forest,31.0,30.2,4.9,10.7,0.458,4.5,9.0,0.502,0.4,1.7,0.226,2.9,4.1,0.7170000000000001,7.6,1.5,0.6,0.6,2.5,2.2,13.1,8.47,0.0,0.0,0.0,0.0,0.0,56,LAC,2019,SF
623,Miye Oni,Yale,87.0,31.7,5.2,12.1,0.428,3.2,6.5,0.49,2.0,5.6,0.35600000000000004,2.7,3.5,0.777,6.2,3.3,0.9,1.0,2.6,2.8,15.0,-2.08,0.0,0.0,0.0,0.0,0.0,57,NOP,2019,SG
624,Admiral Schofield,Tennessee,132.0,24.9,4.4,9.7,0.458,3.0,6.1,0.501,1.4,3.6,0.387,1.6,2.1,0.763,5.3,1.3,0.7,0.4,1.4,2.6,11.9,9.58,0.0,0.0,0.0,0.0,0.0,58,GSW,2019,SF
625,Ignas Brazdeikis,Michigan,37.0,29.6,5.1,11.0,0.462,3.6,7.1,0.5,1.5,3.9,0.392,3.1,4.1,0.773,5.4,0.8,0.7,0.5,1.2,2.1,14.8,10.55,0.0,0.0,0.0,0.0,0.0,59,TOR,2019,SF
