,Name,School,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS,Pk,Tm,Year,Pos
387,Darius Miller,Kentucky,152.0,24.9,2.9,6.5,0.448,1.8,3.5,0.509,1.2,3.0,0.379,1.2,1.5,0.815,3.2,1.8,0.8,0.7,1.4,2.3,8.2,7.12,1.5,0.8,0.3,0.2,2.3,46,NOH,2012,SF
388,Kris Joseph,Syracuse,140.0,26.6,3.5,7.8,0.449,2.7,5.4,0.501,0.8,2.4,0.331,2.7,3.9,0.7020000000000001,4.5,1.5,1.3,0.5,1.6,1.6,10.5,8.37,0.7,0.1,0.3,0.0,0.9,51,BOS,2012,SF
389,Darius Johnson-Odom,Marquette,105.0,30.8,5.3,12.0,0.444,3.2,6.7,0.476,2.1,5.2,0.403,3.0,4.1,0.722,3.1,2.5,0.9,0.2,2.1,2.3,15.7,8.08,1.0,0.3,0.0,0.0,0.0,55,DAL,2012,SG
390,Robbie Hummel,Purdue,127.0,30.2,4.6,10.4,0.443,2.9,6.0,0.483,1.7,4.4,0.389,3.1,3.7,0.841,6.8,2.1,1.0,0.9,1.1,2.4,14.0,7.48,2.5,0.4,0.3,0.0,3.4,58,MIN,2012,SF
391,Robert Sacre,Gonzaga,136.0,21.7,3.0,6.0,0.504,3.0,5.9,0.505,0.0,0.0,0.25,3.3,4.5,0.735,5.0,0.7,0.5,1.4,1.6,2.3,9.3,3.36,1.1,0.2,0.0,0.3,1.3,60,LAL,2012,C
392,Anthony Bennett,UNLV,35.0,27.1,5.8,10.8,0.5329999999999999,4.7,8.1,0.5870000000000001,1.0,2.7,0.375,3.5,5.1,0.701,8.1,1.0,0.7,1.2,1.9,2.3,16.1,5.71,3.0,0.3,0.4,0.2,4.2,1,CLE,2013,PF
393,Victor Oladipo,Indiana,104.0,24.6,3.9,7.3,0.5379999999999999,3.4,5.9,0.585,0.5,1.4,0.338,2.5,3.5,0.716,5.2,1.7,1.5,0.5,2.0,2.4,10.7,7.94,4.1,4.1,1.6,0.5,13.8,2,ORL,2013,PG
394,Otto Porter,Georgetown,64.0,32.5,4.6,9.2,0.498,3.7,6.8,0.55,0.9,2.4,0.355,2.8,3.8,0.7509999999999999,7.1,2.1,1.5,0.9,1.3,2.0,12.8,7.64,1.5,0.3,0.2,0.0,2.1,3,WAS,2013,SF
395,Cody Zeller,Indiana,72.0,29.0,5.5,9.4,0.5920000000000001,5.5,9.3,0.594,0.0,0.0,0.0,5.0,6.6,0.7559999999999999,7.3,1.3,1.2,1.2,2.0,2.5,16.1,8.09,4.3,1.1,0.5,0.5,6.0,4,CHA,2013,C
396,Alex Len,Maryland,60.0,24.5,3.8,7.0,0.5379999999999999,3.7,6.8,0.5479999999999999,0.0,0.2,0.111,2.2,3.3,0.6629999999999999,7.0,0.8,0.2,2.1,1.6,2.6,9.7,5.32,2.4,0.1,0.1,0.4,2.0,5,PHO,2013,C
