,Real,pred1,hue1,chip1,pred2,hue2,chip2,pred3,hue3,chip3,pred4,hue4,chip4,pred5,hue5,chip5,pred6,hue6,chip6,pred7,hue7,chip7,level_0,Name
31,8.2,5.0,"rgb(193, 127, 83)",3.2,4.78,"rgb(193, 127, 83)",3.42,4.48,"rgb(193, 127, 83)",3.72,4.869999885559082,"rgb(193, 127, 83)",3.33,4.849999904632568,"rgb(193, 127, 83)",3.35,2.940000057220459,"rgb(171, 79, 82)",5.26,4.5,"rgb(193, 127, 83)",3.7,31,Caris LeVert
32,0.9,3.31,"rgb(171, 79, 82)",-2.41,4.42,"rgb(171, 79, 82)",-3.52,4.68,"rgb(171, 79, 82)",-3.78,4.190000057220459,"rgb(171, 79, 82)",-3.29,3.3299999237060547,"rgb(171, 79, 82)",-2.43,3.9600000381469727,"rgb(171, 79, 82)",-3.06,5.2,"rgb(171, 79, 82)",-4.3,32,Georges Niang
33,3.6,4.29,"rgb(87, 110, 167)",-0.69,4.68,"rgb(113, 162, 104)",-1.08,4.49,"rgb(113, 162, 104)",-0.89,4.090000152587891,"rgb(87, 110, 167)",-0.49,3.819999933242798,"rgb(87, 110, 167)",-0.22,1.850000023841858,"rgb(193, 127, 83)",1.75,4.63,"rgb(113, 162, 104)",-1.03,33,Malachi Richardson
34,8.8,6.11,"rgb(113, 162, 104)",2.69,4.58,"rgb(193, 127, 83)",4.22,3.74,"rgb(171, 79, 82)",5.06,5.650000095367432,"rgb(193, 127, 83)",3.15,5.199999809265137,"rgb(193, 127, 83)",3.6,4.0,"rgb(171, 79, 82)",4.8,4.67,"rgb(193, 127, 83)",4.13,34,Skal Labissiere
35,7.3,6.52,"rgb(87, 110, 167)",0.78,4.54,"rgb(193, 127, 83)",2.76,3.79,"rgb(193, 127, 83)",3.51,6.320000171661377,"rgb(87, 110, 167)",0.98,5.849999904632568,"rgb(113, 162, 104)",1.45,4.099999904632568,"rgb(193, 127, 83)",3.2,4.43,"rgb(193, 127, 83)",2.87,35,Tyler Ulis
36,3.4,4.35,"rgb(113, 162, 104)",-0.95,4.34,"rgb(113, 162, 104)",-0.94,4.06,"rgb(87, 110, 167)",-0.66,4.409999847412109,"rgb(113, 162, 104)",-1.01,4.25,"rgb(113, 162, 104)",-0.85,2.430000066757202,"rgb(113, 162, 104)",0.97,4.43,"rgb(113, 162, 104)",-1.03,36,Dejounte Murray
37,10.2,4.68,"rgb(171, 79, 82)",5.52,4.19,"rgb(171, 79, 82)",6.01,3.63,"rgb(171, 79, 82)",6.57,5.369999885559082,"rgb(193, 127, 83)",4.83,4.769999980926514,"rgb(171, 79, 82)",5.43,3.740000009536743,"rgb(171, 79, 82)",6.46,4.51,"rgb(171, 79, 82)",5.69,37,Malcolm Brogdon
38,4.0,4.51,"rgb(87, 110, 167)",-0.51,4.12,"rgb(87, 110, 167)",-0.12,3.85,"rgb(87, 110, 167)",0.15,5.699999809265137,"rgb(113, 162, 104)",-1.7,4.909999847412109,"rgb(113, 162, 104)",-0.91,5.360000133514404,"rgb(113, 162, 104)",-1.36,4.85,"rgb(113, 162, 104)",-0.85,38,Patrick McCaw
39,7.4,4.49,"rgb(193, 127, 83)",2.91,4.3,"rgb(193, 127, 83)",3.1,4.07,"rgb(193, 127, 83)",3.33,4.349999904632568,"rgb(193, 127, 83)",3.05,3.8399999141693115,"rgb(193, 127, 83)",3.56,4.300000190734863,"rgb(193, 127, 83)",3.1,4.22,"rgb(193, 127, 83)",3.18,39,Isaiah Whitehead
40,1.8,1.89,"rgb(87, 110, 167)",-0.09,3.89,"rgb(171, 79, 82)",-2.09,3.55,"rgb(193, 127, 83)",-1.75,3.0899999141693115,"rgb(193, 127, 83)",-1.29,2.6600000858306885,"rgb(113, 162, 104)",-0.86,4.840000152587891,"rgb(171, 79, 82)",-3.04,4.37,"rgb(171, 79, 82)",-2.57,40,Joel Bolomboy
