Name,School,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,Year,Pos,Age,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS
Von Wafer,Florida State,61.0,22.0,21.6,3.5,8.7,0.405,1.7,3.8,0.457,1.8,4.9,0.365,1.3,1.9,0.669,0.4,1.8,2.2,1.4,0.9,0.2,1.4,1.4,10.1,8.65,2006,SG,20,0.5,0.3,0.2,0.0,1.3
Matt Walsh,Florida,92.0,90.0,30.7,4.4,9.7,0.454,2.3,4.5,0.521,2.1,5.3,0.398,3.2,4.1,0.7959999999999999,0.6,3.9,4.4,3.0,1.4,0.3,2.8,2.2,14.1,8.02,2006,SG,23,0.0,0.0,0.0,0.0,1.0
Hakim Warrick,Syracuse,135.0,119.0,31.0,5.7,10.6,0.536,5.6,10.3,0.544,0.1,0.3,0.25,3.9,5.9,0.659,2.9,4.7,7.6,1.5,1.0,0.9,2.3,2.4,15.4,7.34,2006,PF,23,2.1,0.4,0.2,0.3,4.1
Robert Whaley,Cincinnati,22.0,3.0,13.0,2.2,6.3,0.348,2.2,6.2,0.35,0.0,0.0,0.0,1.4,2.1,0.66,1.0,1.4,2.5,0.6,0.3,0.4,1.1,2.1,5.8,6.28,2006,C,23,1.9,0.7,0.3,0.3,2.1
Deron Williams,Illinois,101.0,98.0,31.7,4.0,9.4,0.422,2.3,5.1,0.464,1.6,4.3,0.374,1.5,2.1,0.685,0.4,2.9,3.3,5.9,1.1,0.2,2.4,2.2,11.0,7.44,2006,PG,21,2.4,4.5,0.8,0.2,10.8
Marvin Williams,UNC,36.0,0.0,22.2,3.5,6.9,0.506,2.9,5.6,0.522,0.5,1.2,0.4320000000000001,3.8,4.5,0.847,1.8,4.8,6.6,0.7,1.1,0.5,1.6,2.6,11.3,10.66,2006,PF,19,4.8,0.8,0.6,0.3,8.5
Antoine Wright,Texas A&M,87.0,83.0,32.1,5.4,13.0,0.412,3.3,7.5,0.439,2.1,5.5,0.376,2.6,4.0,0.648,1.4,4.2,5.6,2.1,1.1,0.6,2.3,2.6,15.4,5.15,2006,SG,21,0.8,0.3,0.1,0.1,1.8
Bracey Wright,Indiana,85.0,85.0,35.7,5.5,13.6,0.405,3.3,7.4,0.451,2.2,6.3,0.35,4.4,5.7,0.7759999999999999,1.3,3.8,5.1,2.4,0.9,0.6,2.3,1.8,17.6,9.25,2006,SG,21,2.6,0.7,0.1,0.0,8.9
Derrick Zimmerman,Mississippi State,127.0,71.0,26.0,2.5,5.2,0.477,2.2,4.1,0.5329999999999999,0.3,1.1,0.268,1.6,2.6,0.6,0.9,2.8,3.3,4.0,1.6,0.7,2.9,1.7,6.9,7.33,2006,PG,24,2.0,3.5,0.0,0.0,2.0
Hassan Adams,Arizona,130.0,100.0,27.8,5.8,11.6,0.499,5.2,9.7,0.535,0.6,1.9,0.311,1.9,2.7,0.7040000000000001,2.5,3.0,5.4,2.0,1.8,0.7,2.0,2.0,14.0,8.42,2007,SG,22,1.3,0.2,0.3,0.1,2.9
Maurice Ager,Michigan State,124.0,73.0,25.6,4.2,9.6,0.441,2.6,5.3,0.4920000000000001,1.6,4.3,0.38,2.5,3.2,0.775,0.8,2.6,3.4,1.5,0.5,0.3,1.7,1.9,12.5,8.19,2007,SG,22,0.7,0.2,0.1,0.1,2.2
Hilton Armstrong,UConn,131.0,56.0,15.1,1.7,3.1,0.563,1.7,3.1,0.565,0.0,0.0,0.333,1.2,2.1,0.578,1.3,2.6,3.9,0.6,0.3,1.5,1.2,2.1,4.7,7.4,2007,C,22,2.7,0.2,0.2,0.5,3.1
James Augustine,Illinois,137.0,134.0,27.1,3.9,6.3,0.617,3.9,6.2,0.623,0.0,0.1,0.333,2.3,3.3,0.687,2.6,4.9,7.5,1.1,1.0,1.0,1.5,2.6,10.1,7.15,2007,PF,22,1.5,1.0,0.0,0.0,1.0
Kelenna Azubuike,Kentucky,97.0,65.0,22.4,3.6,7.5,0.485,2.7,4.9,0.545,1.0,2.6,0.373,1.7,2.3,0.752,1.5,2.3,3.7,1.0,0.7,0.3,1.3,1.6,10.0,8.66,2007,SG,23,2.3,0.7,0.5,0.2,7.1
Renaldo Balkman,South Carolina,104.0,40.0,21.1,3.0,5.5,0.5529999999999999,2.9,5.0,0.581,0.2,0.5,0.29100000000000004,1.2,2.2,0.5329999999999999,2.1,3.2,5.3,1.7,1.2,1.1,1.7,2.1,7.4,7.11,2007,SF,22,4.3,0.6,0.8,0.6,4.9
Will Blalock,Iowa State,93.0,92.0,34.3,4.2,10.0,0.421,3.2,7.1,0.445,1.1,2.9,0.365,2.1,2.9,0.7190000000000001,0.6,2.5,3.1,5.0,1.9,0.1,2.5,1.6,11.6,7.92,2007,PG,23,1.1,1.2,0.4,0.0,1.8
Cedric Bozeman,UCLA,106.0,96.0,27.8,2.6,5.9,0.435,2.1,4.6,0.468,0.4,1.3,0.321,1.0,1.8,0.584,0.6,2.6,3.2,3.6,0.6,0.1,2.4,1.9,6.6,8.9,2007,SG,23,1.0,0.4,0.2,0.1,1.1
Ronnie Brewer,Arkansas,90.0,88.0,33.0,5.5,11.9,0.462,4.3,8.5,0.511,1.2,3.4,0.34,3.6,5.4,0.6709999999999999,1.7,3.4,5.0,3.3,2.4,0.5,2.3,1.7,15.7,5.35,2007,SG,21,1.3,0.4,0.7,0.1,4.6
Andre Brown,DePaul,107.0,72.0,29.0,4.2,8.3,0.502,4.2,8.3,0.503,0.0,0.0,0.0,2.3,4.5,0.523,3.3,4.7,8.0,0.5,0.7,0.7,1.9,2.3,10.7,6.77,2007,PF,25,1.9,0.1,0.2,0.1,2.4
Shannon Brown,Michigan State,97.0,89.0,28.0,4.3,9.4,0.457,3.2,6.3,0.503,1.1,3.1,0.364,2.5,3.0,0.831,1.0,2.4,3.4,1.9,1.3,0.1,2.0,1.9,12.2,7.69,2007,SG,21,0.9,0.4,0.3,0.1,3.2
Rodney Carney,Memphis,133.0,101.0,27.6,5.0,11.9,0.415,2.8,6.0,0.468,2.2,6.0,0.362,2.2,3.1,0.7170000000000001,1.5,3.4,4.9,1.2,1.0,1.0,1.4,2.1,14.3,5.22,2007,SF,22,1.9,0.4,0.6,0.3,6.6
Mardy Collins,Temple,125.0,124.0,37.5,5.7,14.4,0.399,4.3,9.4,0.457,1.5,5.0,0.292,2.4,3.9,0.624,1.2,3.3,4.6,3.2,2.3,0.2,2.0,2.3,15.4,5.33,2007,SF,22,2.0,1.6,0.6,0.1,4.5
Will Conroy,Washington,121.0,91.0,25.0,3.0,6.8,0.445,2.1,4.1,0.518,0.9,2.6,0.331,2.3,3.2,0.73,0.9,1.9,2.8,4.3,0.9,0.0,2.6,2.1,9.2,7.87,2007,PG-SG,24,1.0,1.3,0.0,0.0,0.0
Paul Davis,Michigan State,130.0,97.0,25.8,4.7,8.8,0.5379999999999999,4.6,8.4,0.5489999999999999,0.1,0.4,0.271,3.7,4.8,0.763,2.1,4.9,7.0,1.4,1.1,0.7,2.1,2.6,13.2,8.19,2007,C,22,1.4,0.2,0.2,0.2,1.6
Yakhouba Diawara,Pepperdine,45.0,40.0,32.5,5.4,11.9,0.456,4.7,9.7,0.482,0.8,2.2,0.343,3.8,5.9,0.65,3.0,3.0,6.0,1.0,0.8,0.1,1.9,2.8,15.5,1.81,2007,SG,24,1.7,0.9,0.5,0.1,4.4
Quincy Douby,Rutgers,95.0,64.0,32.1,6.1,14.1,0.4320000000000001,3.5,7.3,0.473,2.6,6.8,0.389,2.9,3.6,0.82,0.7,2.2,2.9,2.7,1.3,0.7,2.2,1.8,17.8,6.93,2007,PG,22,0.9,0.4,0.4,0.1,2.8
Jordan Farmar,UCLA,66.0,66.0,32.2,4.4,10.8,0.41,3.0,6.4,0.463,1.5,4.4,0.333,3.0,4.0,0.76,0.6,2.4,3.0,5.2,1.2,0.2,3.8,2.1,13.3,7.68,2007,PG,20,1.7,1.9,0.6,0.1,4.4
Desmon Farmer,USC,121.0,75.0,27.0,4.3,10.6,0.41,2.7,5.6,0.474,1.7,5.0,0.338,2.9,3.9,0.746,1.5,2.3,3.8,1.6,0.8,0.1,1.8,2.1,13.3,8.24,2007,SG,25,0.1,1.1,0.1,0.0,1.6
Randy Foye,Villanova,131.0,128.0,31.3,5.2,13.1,0.399,3.6,8.1,0.441,1.6,4.9,0.329,3.0,3.8,0.7809999999999999,1.4,3.4,4.8,3.2,1.5,0.4,2.9,2.7,15.0,8.37,2007,PG,23,2.7,2.8,0.6,0.3,10.1
Rudy Gay,UConn,64.0,59.0,29.8,5.0,10.8,0.461,4.1,8.5,0.483,0.9,2.3,0.378,2.8,3.8,0.721,1.9,4.0,5.9,1.8,1.3,1.7,2.2,2.3,13.6,7.1,2007,SF,20,4.5,1.3,0.9,0.9,10.8
Daniel Gibson,Texas,68.0,68.0,33.0,4.3,10.5,0.411,1.8,3.9,0.451,2.6,6.6,0.387,2.5,3.4,0.741,0.8,2.8,3.6,3.5,1.5,0.3,2.4,2.5,13.8,7.28,2007,PG,20,1.5,1.2,0.4,0.1,4.6
Lynn Greer,Temple,137.0,68.0,34.3,4.8,12.0,0.403,2.6,6.4,0.407,2.2,5.6,0.398,3.4,4.0,0.852,0.8,2.6,2.6,3.2,1.4,0.1,2.7,1.0,15.3,8.16,2007,SG,27,0.7,1.3,0.4,0.0,4.1
Mike Hall,George Washington,117.0,110.0,31.9,3.6,7.4,0.484,2.7,5.1,0.532,0.9,2.3,0.378,2.4,3.1,0.77,3.1,4.8,7.9,1.8,1.0,0.4,1.3,2.2,10.4,2.04,2007,SF,22,1.0,0.5,0.0,0.0,1.0
Robert Hite,Miami (FL),121.0,109.0,29.5,5.1,11.6,0.442,3.3,6.7,0.485,1.9,4.9,0.384,2.0,2.4,0.848,1.2,3.4,4.6,1.5,1.5,0.3,1.6,2.0,14.2,5.74,2007,SG,23,1.3,0.7,0.3,0.2,4.3
Ryan Hollins,UCLA,113.0,61.0,20.2,2.0,3.5,0.575,2.0,3.5,0.574,0.0,0.0,1.0,1.7,2.9,0.591,1.6,2.5,4.0,0.4,0.2,0.9,1.4,2.4,5.7,7.98,2007,C,22,1.1,0.0,0.1,0.3,2.4
Alexander Johnson,Florida State,92.0,73.0,21.0,3.3,6.4,0.52,3.2,6.0,0.535,0.1,0.4,0.308,3.0,4.5,0.667,1.7,3.5,5.2,0.7,0.9,0.7,2.6,2.9,9.8,7.38,2007,PF,23,3.1,0.3,0.4,0.6,4.4
Solomon Jones,South Florida,59.0,56.0,31.2,3.7,7.3,0.505,3.7,7.2,0.507,0.0,0.0,0.0,2.5,3.6,0.693,2.6,5.4,8.0,1.0,0.6,2.6,2.7,3.4,9.8,3.34,2007,PF,22,2.3,0.2,0.2,0.7,3.3
Tarence Kinsey,South Carolina,123.0,96.0,24.9,3.4,8.2,0.421,2.4,5.2,0.458,1.0,2.9,0.35600000000000004,1.8,2.5,0.737,1.0,2.3,3.3,1.6,1.2,0.3,1.6,1.7,9.8,7.57,2007,SG,22,2.0,0.9,1.1,0.0,7.7
Kyle Lowry,Villanova,57.0,34.0,26.7,3.2,7.1,0.449,2.9,6.4,0.463,0.2,0.7,0.325,2.9,4.0,0.737,1.4,2.4,3.8,3.0,1.9,0.2,1.9,2.6,9.5,8.83,2007,PG,20,3.1,3.2,1.4,0.1,5.6
Renaldo Major,Fresno State,41.0,13.0,24.0,3.5,7.3,0.477,2.8,5.7,0.491,0.7,1.6,0.424,2.6,3.2,0.795,1.5,2.7,4.1,1.1,0.5,0.4,1.4,2.3,10.2,2.77,2007,PF,24,2.0,0.0,2.0,0.0,5.0
Chris McCray,Maryland,103.0,75.0,25.5,3.5,7.7,0.463,2.5,4.6,0.55,1.0,3.0,0.33,2.7,3.1,0.8540000000000001,1.1,2.3,3.4,2.6,1.6,0.5,1.8,2.2,10.8,8.46,2007,SG,22,0.0,0.0,0.0,0.0,0.0
Ivan McFarlin,Oklahoma State,132.0,131.0,29.4,4.6,7.9,0.584,4.6,7.8,0.585,0.0,0.0,0.4,2.3,3.5,0.6679999999999999,3.1,4.3,7.4,1.2,1.3,1.2,1.8,3.1,11.6,8.04,2007,PF,24,1.0,0.1,0.0,0.0,1.4
Paul Millsap,Louisiana Tech,92.0,91.0,35.2,7.2,12.4,0.5770000000000001,7.1,12.2,0.58,0.1,0.2,0.375,4.2,6.8,0.62,5.5,7.3,12.7,0.9,1.3,2.0,2.4,3.1,18.6,2.11,2007,PF,21,5.2,0.8,0.8,0.9,6.8
Adam Morrison,Gonzaga,95.0,62.0,30.6,7.0,14.0,0.503,5.7,10.3,0.551,1.3,3.7,0.368,4.2,5.5,0.7609999999999999,1.3,3.8,5.1,2.0,0.7,0.4,1.7,1.7,19.7,4.24,2007,PF,22,2.9,2.1,0.4,0.1,11.8
David Noel,UNC,127.0,51.0,23.2,2.7,5.2,0.532,2.2,3.7,0.6,0.5,1.4,0.354,0.9,1.6,0.5870000000000001,1.6,2.7,4.3,1.9,1.1,0.5,1.7,2.0,6.9,10.19,2007,PF,22,1.8,1.0,0.4,0.1,2.7
Steve Novak,Marquette,126.0,89.0,27.0,3.8,8.4,0.456,1.0,2.3,0.443,2.8,6.1,0.461,1.9,2.1,0.931,1.0,3.2,4.2,1.0,0.5,0.1,1.1,2.0,12.4,6.07,2007,SF,23,0.7,0.2,0.1,0.0,1.5
Kevinn Pinkney,Nevada,110.0,81.0,23.6,3.1,6.1,0.515,3.1,5.8,0.529,0.0,0.2,0.185,2.0,2.9,0.708,2.0,3.7,5.7,0.8,0.7,0.8,1.0,2.2,8.3,3.19,2007,PF,23,2.5,0.8,0.5,0.5,5.2
Leon Powe,California,54.0,53.0,32.5,5.9,12.0,0.4920000000000001,5.9,11.9,0.495,0.1,0.2,0.3,5.9,8.8,0.672,3.4,6.4,9.8,1.1,0.8,0.6,2.2,2.4,17.8,7.74,2007,C,23,3.4,0.2,0.2,0.3,4.2
Roger Powell,Illinois,128.0,89.0,19.9,3.6,6.2,0.5720000000000001,3.2,5.3,0.602,0.4,0.9,0.398,1.7,2.6,0.662,1.9,2.3,4.1,0.4,0.5,0.3,0.9,1.9,9.2,8.06,2007,SF,24,1.0,0.0,0.0,0.0,0.7
Chris Quinn,Notre Dame,123.0,82.0,31.0,4.0,8.9,0.446,2.0,4.3,0.478,1.9,4.7,0.417,1.9,2.3,0.825,0.6,2.1,2.7,3.5,1.3,0.1,1.3,1.7,11.8,7.42,2007,PG,23,0.7,1.5,0.4,0.0,3.4
Allan Ray,Villanova,130.0,100.0,30.9,5.1,12.4,0.407,2.7,5.9,0.451,2.4,6.5,0.3670000000000001,3.1,3.7,0.82,0.6,2.6,3.2,2.0,1.1,0.1,2.2,2.5,15.6,8.37,2007,SG,22,1.5,0.9,0.4,0.1,6.2
Rajon Rondo,Kentucky,68.0,62.0,28.1,3.7,7.4,0.493,3.3,6.0,0.544,0.4,1.5,0.28300000000000003,1.9,3.3,0.5770000000000001,0.8,3.7,4.5,4.2,2.3,0.2,2.2,2.0,9.6,8.49,2007,PG,20,3.7,3.8,1.6,0.1,6.4
Brandon Roy,Washington,103.0,71.0,27.5,5.2,10.1,0.512,4.7,8.6,0.541,0.5,1.5,0.344,3.5,4.5,0.765,1.8,3.2,5.0,3.0,1.0,0.5,2.1,2.1,14.3,6.83,2007,SG,22,4.4,4.0,1.2,0.2,16.8
Cedric Simmons,NC State,63.0,33.0,18.9,2.7,4.8,0.565,2.7,4.7,0.5660000000000001,0.0,0.1,0.5,2.3,3.5,0.652,1.3,2.9,4.1,1.1,0.4,1.8,1.3,2.5,7.7,7.4,2007,PF,21,2.5,0.3,0.2,0.5,2.9
Craig Smith,Boston College,130.0,127.0,34.0,7.1,12.7,0.5579999999999999,7.0,12.2,0.5720000000000001,0.1,0.5,0.239,3.8,5.9,0.643,3.0,5.6,8.6,1.9,1.3,0.8,2.3,2.9,18.1,6.73,2007,PF,23,5.1,0.6,0.6,0.2,7.4
Steven Smith,La Salle,107.0,106.0,35.9,6.6,14.3,0.463,5.5,11.0,0.504,1.1,3.3,0.326,3.9,4.9,0.794,2.4,5.7,8.1,1.7,1.2,0.7,3.3,2.9,18.1,1.87,2007,PF,23,0.8,0.0,0.1,0.0,0.6
Tyrus Thomas,LSU,32.0,21.0,25.9,4.8,7.8,0.608,4.7,7.8,0.606,0.0,0.0,1.0,2.8,4.3,0.657,2.8,6.4,9.2,1.3,1.0,3.1,1.8,2.6,12.3,8.77,2007,PF,20,3.7,0.6,0.6,1.1,5.2
Justin Williams,Wyoming,58.0,56.0,26.9,3.8,7.0,0.5379999999999999,3.8,7.0,0.54,0.0,0.0,0.0,2.5,4.4,0.574,3.4,5.4,8.7,0.6,0.4,4.2,2.2,3.2,10.1,3.86,2007,C,22,4.4,0.1,0.2,0.6,5.0
Marcus Williams,UConn,70.0,51.0,27.9,2.9,7.2,0.402,2.1,5.2,0.413,0.8,2.1,0.375,2.4,3.0,0.7909999999999999,0.7,2.6,3.2,7.3,1.0,0.2,3.2,1.7,9.0,7.32,2007,PG,21,2.1,3.3,0.4,0.0,6.8
Shawne Williams,Memphis,36.0,34.0,27.8,4.3,10.4,0.416,3.0,6.1,0.489,1.3,4.3,0.312,3.2,4.0,0.7859999999999999,1.7,4.4,6.2,1.9,1.4,1.4,2.3,2.9,13.2,4.24,2007,SG,20,1.8,0.5,0.1,0.2,3.9
Shelden Williams,Duke,139.0,128.0,28.1,4.9,8.6,0.5720000000000001,4.9,8.6,0.574,0.0,0.1,0.333,4.0,5.7,0.6940000000000001,3.2,5.9,9.1,0.9,1.2,3.0,2.3,3.1,13.9,9.51,2007,PF,23,5.4,0.5,0.6,0.5,5.5
Arron Afflalo,UCLA,104.0,103.0,32.7,5.0,10.9,0.457,3.0,5.5,0.539,2.0,5.4,0.373,2.8,3.6,0.7809999999999999,0.6,2.8,3.5,1.9,0.6,0.2,2.0,2.1,14.8,8.4,2008,SG,22,1.8,0.7,0.4,0.1,3.7
Blake Ahearn,Missouri State,129.0,84.0,26.5,3.7,8.9,0.423,1.6,3.6,0.444,2.1,5.2,0.408,3.4,3.6,0.946,0.3,1.5,1.7,1.8,0.7,0.0,1.7,1.3,13.0,4.41,2008,PG,23,1.6,1.6,0.5,0.0,5.8
Morris Almond,Rice,121.0,56.0,27.1,5.2,10.5,0.4920000000000001,3.9,7.6,0.514,1.3,2.9,0.435,3.5,4.2,0.8240000000000001,1.0,2.5,3.5,1.0,0.7,0.5,2.2,1.7,15.1,2.25,2008,SG,22,0.2,0.3,0.1,0.0,1.4
Corey Brewer,Florida,108.0,106.0,27.2,4.0,8.2,0.48,3.0,5.7,0.536,0.9,2.6,0.35600000000000004,2.5,3.6,0.708,1.3,3.0,4.3,2.8,1.6,0.4,2.3,2.2,11.3,6.65,2008,SF,21,3.7,1.4,1.0,0.3,5.8
Aaron Brooks,Oregon,115.0,110.0,32.7,4.3,10.1,0.43,2.6,5.4,0.479,1.8,4.8,0.374,2.7,3.2,0.8340000000000001,0.7,2.7,3.5,4.1,1.1,0.1,2.6,2.3,13.1,6.68,2008,PG,23,1.1,1.7,0.3,0.1,5.2
Wilson Chandler,DePaul,59.0,52.0,31.1,5.1,11.4,0.445,4.3,8.8,0.487,0.8,2.6,0.303,2.0,3.0,0.659,1.9,5.2,7.1,1.2,0.7,1.5,1.8,2.9,12.9,8.64,2008,SF,20,3.6,0.9,0.4,0.5,7.3
Mike Conley,Ohio State,39.0,39.0,31.6,4.1,7.9,0.518,3.6,6.2,0.579,0.5,1.8,0.304,2.6,3.7,0.6940000000000001,0.7,2.7,3.4,6.1,2.2,0.3,2.2,1.5,11.3,9.03,2008,PG,20,2.6,4.2,0.8,0.0,9.4
Daequan Cook,Ohio State,39.0,1.0,19.7,3.6,8.1,0.445,2.2,4.8,0.465,1.4,3.3,0.415,1.2,1.7,0.6970000000000001,0.7,3.6,4.3,1.0,0.7,0.3,1.4,1.7,9.8,9.03,2008,SG,20,3.0,1.3,0.4,0.2,8.8
Javaris Crittenton,Georgia Tech,32.0,31.0,31.3,4.9,11.0,0.45,3.8,7.8,0.488,1.1,3.2,0.35600000000000004,3.4,4.3,0.7829999999999999,0.9,2.8,3.7,5.8,2.0,0.1,3.9,2.1,14.4,9.36,2008,SG,20,2.2,1.0,0.4,0.0,5.6
Jermareo Davidson,Alabama,126.0,121.0,28.7,3.8,8.1,0.467,3.7,7.9,0.471,0.0,0.2,0.211,2.5,3.5,0.7170000000000001,2.2,5.1,7.3,1.0,0.5,1.8,1.5,2.1,10.1,7.83,2008,SF,23,1.6,0.3,0.2,0.4,3.2
Glen Davis,LSU,95.0,92.0,32.0,6.0,12.0,0.496,5.7,11.1,0.51,0.3,0.9,0.31,4.5,6.5,0.6940000000000001,3.8,5.8,9.6,1.5,1.1,1.2,2.4,2.6,16.7,7.99,2008,C,22,3.0,0.4,0.4,0.3,4.5
Guillermo Diaz,Miami (FL),93.0,81.0,32.6,5.5,12.4,0.448,3.7,7.5,0.493,1.9,4.9,0.38,2.9,3.9,0.74,0.9,2.5,3.4,2.6,1.3,0.3,2.1,1.8,15.9,6.02,2008,SG,22,0.3,0.2,0.0,0.0,0.8
Jared Dudley,Boston College,130.0,130.0,36.4,5.3,10.5,0.504,4.4,8.0,0.5479999999999999,0.9,2.5,0.365,4.4,6.0,0.731,2.9,4.3,7.2,3.0,1.4,0.3,2.1,1.9,15.9,7.22,2008,PF,22,3.9,1.1,0.8,0.1,5.8
Kevin Durant,Texas,35.0,35.0,35.9,8.7,18.5,0.473,6.4,12.7,0.505,2.3,5.8,0.404,6.0,7.3,0.816,3.0,8.1,11.1,1.3,1.9,1.9,2.8,2.0,25.8,6.12,2008,SG,19,4.4,2.4,1.0,0.9,20.3
Nick Fazekas,Nevada,131.0,119.0,30.1,6.9,12.9,0.532,6.0,10.3,0.579,0.9,2.6,0.341,4.2,5.1,0.815,2.5,7.1,9.6,1.3,0.7,1.5,1.7,2.0,18.8,3.05,2008,PF,22,3.4,0.4,0.3,0.4,4.1
Thomas Gardner,Missouri,89.0,57.0,27.4,4.1,10.3,0.396,2.1,4.4,0.477,2.0,6.0,0.336,1.8,2.3,0.777,0.9,1.7,2.6,1.5,0.7,0.0,2.0,2.1,12.0,8.14,2008,SG,22,1.0,0.3,0.0,0.0,5.3
Jeff Green,Georgetown,102.0,102.0,33.2,4.8,9.7,0.488,3.9,7.3,0.531,0.9,2.4,0.359,2.7,3.9,0.7,2.1,4.4,6.5,3.1,0.9,1.2,2.5,2.5,13.1,7.65,2008,SF,21,4.7,1.5,0.6,0.6,10.5
Taurean Green,Florida,111.0,79.0,29.2,2.9,7.1,0.401,1.2,2.8,0.419,1.7,4.3,0.389,3.2,3.7,0.857,0.3,1.9,2.2,3.6,1.1,0.1,2.5,1.6,10.6,6.65,2008,SG-PG,21,0.6,0.6,0.1,0.0,1.6
Mike Harris,Rice,121.0,85.0,28.7,6.5,10.7,0.602,6.2,10.0,0.62,0.3,0.8,0.385,3.4,4.6,0.731,3.1,6.1,9.2,1.0,1.1,1.0,1.8,2.3,16.6,2.31,2008,PF,24,3.2,0.2,0.4,0.2,3.6
Spencer Hawes,Washington,31.0,24.0,28.9,6.2,11.7,0.532,6.2,11.6,0.5329999999999999,0.0,0.1,0.333,2.4,3.2,0.755,2.0,4.4,6.4,1.9,0.5,1.7,2.5,2.3,14.9,6.5,2008,C,19,3.2,0.6,0.2,0.6,4.7
Al Horford,Florida,109.0,100.0,25.7,3.9,6.6,0.586,3.9,6.6,0.589,0.0,0.0,0.0,2.5,4.1,0.619,2.3,5.6,7.9,1.7,0.9,1.7,1.6,2.5,10.3,6.65,2008,C,21,9.7,1.5,0.7,0.9,10.1
Coby Karl,Boise State,127.0,111.0,29.7,3.9,9.5,0.413,1.8,3.9,0.474,2.1,5.6,0.371,3.4,4.3,0.787,0.7,3.3,4.0,3.2,0.9,0.5,2.7,2.7,13.4,1.46,2008,SG,24,0.8,0.5,0.2,0.1,1.8
Carl Landry,Purdue,64.0,63.0,29.9,6.3,10.5,0.602,6.1,9.8,0.628,0.2,0.7,0.233,5.6,7.9,0.7140000000000001,3.0,4.0,7.1,1.2,1.0,0.8,2.9,3.0,18.4,8.86,2008,PF,24,4.9,0.5,0.4,0.2,8.1
Keith Langford,Kansas,136.0,99.0,28.9,4.9,10.0,0.495,4.2,7.7,0.544,0.8,2.3,0.328,2.7,4.2,0.649,1.8,2.5,4.3,2.4,0.9,0.5,2.0,2.1,13.3,10.04,2008,SG,24,1.0,0.0,0.0,0.0,1.0
Acie Law,Texas A&M,122.0,106.0,30.8,5.0,10.6,0.466,4.0,8.0,0.502,0.9,2.6,0.35700000000000004,2.8,3.7,0.76,0.5,2.6,3.1,4.5,1.3,0.0,2.5,2.6,13.7,4.53,2008,PG,23,1.0,2.0,0.5,0.0,4.2
Josh McRoberts,Duke,69.0,63.0,29.7,4.0,7.5,0.54,3.9,7.0,0.5589999999999999,0.1,0.5,0.278,2.5,3.8,0.664,1.9,4.6,6.5,2.4,1.2,1.9,1.9,2.8,10.8,9.63,2008,PF,20,1.3,0.3,0.1,0.0,1.5
Demetris Nichols,Syracuse,123.0,93.0,25.8,3.8,9.0,0.423,2.2,4.4,0.493,1.7,4.7,0.358,1.6,2.1,0.752,1.2,3.0,4.1,1.1,1.0,0.8,1.5,2.0,10.9,7.27,2008,SF,23,0.4,0.1,0.0,0.2,1.1
Joakim Noah,Florida,108.0,78.0,21.1,3.8,6.2,0.616,3.8,6.2,0.617,0.0,0.0,0.5,2.9,4.2,0.684,2.0,4.4,6.4,1.7,0.9,1.7,1.8,2.0,10.5,6.65,2008,C,22,5.6,1.1,0.9,0.9,6.6
Kasib Powell,Texas Tech,67.0,67.0,35.7,5.9,11.9,0.4920000000000001,5.7,11.2,0.509,0.1,0.7,0.217,3.2,5.1,0.629,2.0,4.1,6.1,4.1,1.1,0.6,1.5,2.3,15.1,7.75,2008,SF,26,4.0,1.6,0.8,0.2,7.6
Gabe Pruitt,USC,80.0,70.0,32.4,4.5,10.2,0.438,2.2,4.5,0.496,2.2,5.7,0.393,2.6,3.3,0.778,0.6,2.5,3.1,3.5,2.0,0.2,2.4,2.3,13.8,6.92,2008,PG,21,0.5,0.9,0.3,0.0,2.1
Ramon Sessions,Nevada,97.0,94.0,29.2,3.2,7.6,0.417,2.9,6.7,0.43,0.3,0.8,0.313,2.2,3.0,0.74,1.0,3.2,4.2,4.9,1.2,0.1,2.6,1.3,8.8,2.12,2008,PG,21,3.4,7.5,1.0,0.2,8.1
Courtney Sims,Michigan,133.0,111.0,23.2,3.8,6.5,0.586,3.8,6.4,0.5920000000000001,0.0,0.1,0.154,2.3,3.4,0.687,1.9,3.6,5.5,0.6,0.4,1.6,2.0,2.4,10.0,6.78,2008,C,24,0.7,0.3,0.0,0.0,0.0
Jason Smith,Colorado State,87.0,70.0,27.9,5.2,9.6,0.5479999999999999,5.1,9.3,0.556,0.1,0.3,0.308,4.1,5.5,0.7509999999999999,2.6,5.3,7.9,2.0,0.5,1.7,3.1,3.3,14.7,3.95,2008,PF,21,3.0,0.3,0.3,0.7,4.5
Rodney Stuckey,Eastern Washington,59.0,59.0,33.1,8.1,17.1,0.472,6.4,11.9,0.54,1.7,5.2,0.317,6.5,8.1,0.8059999999999999,1.1,3.6,4.7,4.8,2.3,0.3,3.5,2.4,24.4,-1.48,2008,PG,21,2.3,2.8,0.9,0.1,7.6
Al Thornton,Florida State,124.0,69.0,22.0,4.4,8.3,0.528,3.9,7.2,0.5429999999999999,0.5,1.2,0.438,3.0,4.2,0.701,2.1,3.1,5.2,0.7,0.8,0.6,1.7,2.3,12.3,7.69,2008,PF,24,4.5,1.2,0.6,0.5,12.7
