Name,School,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,Year,Pos,Age,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS
Jannero Pargo,Arkansas,60.0,37.0,25.5,5.0,10.9,0.455,2.2,4.3,0.5,2.8,6.6,0.425,1.7,2.0,0.82,0.6,1.7,2.2,2.8,1.6,0.0,2.1,2.0,14.4,8.15,2003,PG,23,1.1,1.1,0.4,0.1,2.5
Smush Parker,Fordham,28.0,26.0,35.0,5.5,12.6,0.433,3.4,6.4,0.536,2.0,6.2,0.328,3.6,4.9,0.73,1.3,3.1,4.4,4.5,2.3,0.3,4.4,2.5,16.5,3.47,2003,PG,21,1.8,2.5,0.7,0.2,6.2
Tayshaun Prince,Kentucky,135.0,66.0,29.8,4.8,10.5,0.457,3.3,5.9,0.556,1.5,4.6,0.329,2.0,2.7,0.743,1.9,4.5,5.6,1.9,0.8,1.1,1.7,1.4,13.1,11.42,2003,SF,22,1.1,0.6,0.2,0.3,3.3
Kareem Rush,Missouri,84.0,60.0,30.2,6.5,14.7,0.445,3.9,8.3,0.464,2.7,6.4,0.422,3.1,4.0,0.777,1.7,4.1,5.4,2.1,1.2,0.6,2.8,2.3,18.9,8.07,2003,PG,22,1.2,0.9,0.1,0.1,3.0
John Salmons,Miami (FL),124.0,61.0,30.8,3.6,7.7,0.466,2.9,5.5,0.523,0.7,2.2,0.321,2.5,3.1,0.805,2.0,4.0,5.5,3.5,1.5,0.7,2.6,2.5,10.4,6.25,2003,PG,23,0.9,0.7,0.3,0.1,2.1
Paul Shirley,Iowa State,109.0,46.0,22.5,2.6,4.7,0.5539999999999999,2.6,4.7,0.5539999999999999,0.0,0.0,0.5,2.3,3.4,0.684,3.1,3.8,5.1,0.6,0.6,0.4,1.4,0.9,7.5,6.0,2003,PF,25,0.5,0.0,0.0,0.0,0.0
Tamar Slay,Marshall,114.0,57.0,28.8,5.5,12.4,0.443,3.3,6.7,0.491,2.2,5.7,0.386,2.5,3.4,0.7490000000000001,1.2,4.2,4.4,2.2,1.2,0.5,2.4,2.3,15.7,0.61,2003,SG,22,0.9,0.4,0.4,0.1,2.6
Dajuan Wagner,Memphis,36.0,35.0,31.8,7.4,18.0,0.41,5.5,12.2,0.453,1.8,5.8,0.317,4.6,6.4,0.722,0.5,2.0,2.5,3.6,1.2,0.6,2.9,2.8,21.2,4.72,2003,SG,19,1.7,2.8,0.8,0.1,13.4
Chris Wilcox,Maryland,70.0,27.0,16.6,3.2,6.2,0.52,3.2,6.1,0.522,0.0,0.0,0.0,1.5,2.6,0.589,1.8,3.0,4.7,1.0,0.5,1.0,1.0,2.0,7.9,10.19,2003,PF,20,2.3,0.5,0.2,0.3,3.7
Mike Wilks,Rice,117.0,29.0,32.2,3.6,8.7,0.409,2.6,6.1,0.436,0.9,2.6,0.34600000000000003,3.1,4.2,0.7290000000000001,1.5,3.4,3.7,3.0,1.6,0.2,2.5,0.9,11.1,3.6,2003,PG-SG,23,1.5,2.0,0.6,0.1,3.2
Frank Williams,Illinois,101.0,68.0,31.7,4.6,11.7,0.396,3.3,7.6,0.433,1.3,4.1,0.326,3.7,4.6,0.807,0.8,3.4,4.0,4.3,2.1,0.3,2.7,1.8,14.3,10.3,2003,PG,22,0.9,1.6,0.3,0.1,1.3
Jay Williams,Duke,108.0,74.0,33.1,6.6,14.6,0.453,3.7,7.2,0.514,2.9,7.4,0.393,3.1,4.7,0.6709999999999999,0.8,2.6,3.7,6.0,2.2,0.1,3.9,2.3,19.3,10.0,2003,PG,21,2.6,4.7,1.1,0.2,9.5
Vincent Yarbrough,Tennessee,127.0,125.0,30.4,4.8,11.0,0.44,3.4,6.8,0.5,1.4,4.1,0.34,2.6,3.8,0.687,2.2,5.3,6.8,2.3,1.7,1.0,2.2,1.9,13.7,8.94,2003,SG,21,2.7,2.2,1.0,0.6,6.9
Carmelo Anthony,Syracuse,35.0,35.0,36.4,7.9,17.5,0.453,6.3,12.7,0.496,1.6,4.7,0.337,4.8,6.8,0.706,2.9,7.1,10.0,2.2,1.6,0.9,2.2,2.2,22.2,9.02,2004,SF,19,6.1,2.8,1.2,0.5,21.0
Marcus Banks,UNLV,63.0,63.0,34.3,6.0,12.2,0.495,5.0,9.1,0.551,1.0,3.1,0.33,5.0,6.8,0.731,0.8,2.6,3.3,4.3,2.5,0.2,3.6,2.9,18.1,4.77,2004,PG,22,1.6,2.2,1.1,0.2,5.9
Matt Barnes,UCLA,121.0,57.0,22.6,3.3,7.1,0.469,2.8,5.5,0.514,0.5,1.6,0.314,1.7,2.9,0.5660000000000001,2.1,4.7,4.8,2.0,1.0,0.4,2.0,2.2,8.8,10.45,2004,SF,23,4.0,1.3,0.7,0.1,4.5
Troy Bell,Boston College,122.0,95.0,35.7,6.2,14.7,0.424,3.8,8.1,0.467,2.5,6.6,0.3720000000000001,6.6,7.6,0.868,1.8,2.5,4.0,3.5,2.2,0.3,2.9,2.3,21.6,5.85,2004,PG,23,0.7,0.7,0.2,0.0,1.8
Steve Blake,Maryland,138.0,103.0,31.3,2.7,6.8,0.401,1.4,3.3,0.423,1.3,3.5,0.381,1.5,2.0,0.7709999999999999,0.7,2.8,3.4,7.0,1.7,0.3,3.3,2.1,8.3,9.34,2004,PG,23,1.6,2.8,0.8,0.1,5.9
Keith Bogans,Kentucky,135.0,99.0,29.0,5.0,11.4,0.4370000000000001,3.1,5.9,0.527,1.9,5.5,0.342,2.4,3.5,0.688,1.6,2.7,4.1,2.3,1.1,0.1,2.3,2.0,14.2,11.27,2004,SF,23,4.3,1.3,0.6,0.1,6.8
Curtis Borchardt,Stanford,66.0,29.0,21.6,3.5,6.6,0.534,3.3,6.0,0.551,0.2,0.6,0.375,2.9,4.2,0.691,2.8,6.0,7.2,1.2,0.4,2.2,1.4,2.3,10.2,8.67,2004,C,23,3.4,0.9,0.3,0.9,3.6
Chris Bosh,Georgia Tech,31.0,31.0,31.0,5.4,9.7,0.56,4.7,8.2,0.575,0.7,1.5,0.478,4.1,5.6,0.73,3.1,5.9,9.0,1.2,1.0,2.2,2.3,2.4,15.6,7.94,2004,C,19,7.4,1.0,0.8,1.4,11.5
Matt Carroll,Notre Dame,133.0,95.0,31.2,4.7,10.6,0.445,2.5,4.9,0.503,2.3,5.7,0.395,2.2,2.7,0.825,0.9,4.0,4.3,2.4,0.9,0.2,1.8,1.5,13.9,6.92,2004,SG,23,0.4,0.1,0.1,0.0,1.2
Brian Cook,Illinois,132.0,99.0,25.7,4.8,9.4,0.51,4.1,7.3,0.5579999999999999,0.7,2.1,0.339,2.9,3.7,0.7929999999999999,1.8,4.9,6.2,1.3,0.7,1.0,2.0,3.0,13.2,9.42,2004,C,23,2.9,0.6,0.5,0.5,4.4
Omar Cook,St. John's (NY),29.0,29.0,38.2,4.9,13.5,0.36,2.5,5.9,0.424,2.3,7.6,0.309,3.3,4.4,0.742,0.6,2.4,3.0,8.7,2.3,0.2,5.1,2.8,15.3,8.27,2004,PG,22,0.4,1.4,0.6,0.0,0.8
Marquis Daniels,Auburn,111.0,90.0,28.7,5.4,10.8,0.496,4.8,8.8,0.542,0.6,2.0,0.29600000000000004,2.4,3.8,0.6459999999999999,2.2,4.0,5.6,2.6,1.9,0.4,2.7,2.4,13.8,7.91,2004,SG,23,2.6,2.1,0.9,0.2,8.5
Josh Davis,Wyoming,119.0,60.0,26.3,4.7,9.5,0.4970000000000001,4.2,7.5,0.5539999999999999,0.5,1.9,0.278,2.1,3.3,0.642,2.7,6.0,8.0,1.4,1.2,1.5,1.7,1.8,12.1,2.85,2004,PF,23,1.3,0.0,0.0,0.0,1.3
Ronald Dupree,LSU,129.0,94.0,28.8,5.2,10.7,0.483,4.6,8.9,0.519,0.5,1.7,0.3,2.6,4.0,0.638,2.8,5.5,7.0,1.6,0.8,0.4,2.7,2.1,13.4,6.5,2004,SF,23,3.6,1.2,0.7,0.4,6.2
Hiram Fuller,Fresno State,60.0,23.0,20.4,2.6,5.2,0.503,2.6,5.0,0.518,0.0,0.2,0.091,2.2,3.4,0.649,2.3,4.1,6.4,0.4,0.6,1.0,1.9,2.9,7.4,2.82,2004,PF,22,2.8,0.5,0.0,0.3,2.0
Reece Gaines,Louisville,125.0,93.0,31.6,5.1,11.2,0.452,3.3,6.5,0.502,1.8,4.7,0.383,3.6,4.9,0.75,0.7,2.8,3.4,3.8,1.5,0.2,2.7,2.5,15.6,7.91,2004,PG,23,1.0,1.1,0.3,0.1,1.8
Willie Green,Detroit,124.0,87.0,30.0,5.2,11.4,0.461,4.3,8.6,0.495,1.0,2.8,0.35200000000000004,2.9,3.8,0.757,1.1,3.6,4.2,2.2,0.9,0.3,2.0,2.3,14.3,0.88,2004,SG,22,1.2,1.0,0.5,0.1,6.9
Travis Hansen,BYU,86.0,71.0,27.4,4.3,9.8,0.434,3.4,7.4,0.455,0.9,2.4,0.369,3.8,4.9,0.774,1.4,3.4,4.8,1.7,0.7,0.4,2.0,2.8,13.2,4.7,2004,SF,25,1.7,0.5,0.2,0.2,3.0
Udonis Haslem,Florida,130.0,62.0,24.9,4.9,8.3,0.584,4.9,8.3,0.586,0.0,0.0,0.0,4.0,5.9,0.6659999999999999,2.4,5.5,6.4,1.1,0.8,0.9,2.4,1.5,13.7,7.5,2004,PF,23,6.3,0.7,0.4,0.3,7.3
Kirk Hinrich,Kansas,141.0,118.0,29.7,4.4,8.8,0.493,2.7,5.0,0.542,1.7,3.9,0.43,2.0,2.6,0.7759999999999999,0.9,3.3,3.8,4.7,1.5,0.4,2.7,2.7,12.4,9.68,2004,PG,23,3.4,6.8,1.3,0.3,12.0
Josh Howard,Wake Forest,127.0,85.0,27.8,5.1,10.5,0.483,4.2,8.1,0.522,0.9,2.4,0.353,2.9,4.0,0.708,2.9,4.5,6.6,1.9,1.7,1.1,2.2,2.9,13.9,9.17,2004,SF,23,5.5,1.4,1.0,0.8,8.6
Brandon Hunter,Ohio,119.0,86.0,32.6,5.9,11.6,0.51,5.6,10.7,0.525,0.3,1.0,0.339,4.7,7.8,0.608,2.7,7.7,9.3,2.1,0.8,0.7,3.4,2.6,16.9,1.82,2004,PF,23,3.3,0.5,0.4,0.0,3.5
